typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw,laenge_bw,alter_bw,wandflaeche_bw,old_bw
bruecke,bruecke.616,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,43,43.839,Landgrabenbrücke 1,B190 034,1958.0,9.0,,839.0,64.0,,True
bruecke,bruecke.630,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,57,57.27,Überführung Riedberg- Radwegtunnel,B190 088,2022.0,9.0,,270.0,0.0,,False
bruecke,bruecke.638,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,19,19.679,Gießenbachdurchlass,B190 013,1989.0,9.0,,679.0,33.0,,True
bruecke,bruecke.652,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,27,27.549,Mühlbachbrücke 1,B190 025,1958.0,9.0,,549.0,64.0,,True
bruecke,bruecke.659,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,1,1.088,Fußgängerunterführung St Peter,B190 003,1976.0,9.0,,88.0,46.0,,True
bruecke,bruecke.675,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,42,42.173,Ermenbachbrücke,B190 032,1920.0,9.0,,173.0,102.0,,True
bruecke,bruecke.330,8    -L 190 -  22-R 2,L190-22-R2,Vorarlberger Straße Felsenau - Rampe 2,RFB 1,42,0.127,Brücke über L190 und Ill,B190 018,1980.0,5.0,,41873.0,42.0,,True
bruecke,bruecke.460,8    -L 190 -    -D,L190-D,Vorarlberger Straße,RFB 1,41,41.311,Emsbachbrücke Schillerallee,B190 083,2009.0,5.0,,311.0,13.0,,False
bruecke,bruecke.22,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,51,51.46,V43a Landgrabendurchlass,B190 046,2007.0,5.0,,460.0,15.0,,False
bruecke,bruecke.56,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,22,22.574,Brücke über L190 und Ill,B190 018,1980.0,5.0,,574.0,42.0,,True
bruecke,bruecke.66,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,22,23.024,Illbrücke Felsenau R,B190 019 R,1980.0,5.0,,1024.0,42.0,,True
bruecke,bruecke.243,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,2,2.53,Brunnenbachbrücke 1,B190 064,1996.0,5.0,,530.0,26.0,,True
bruecke,bruecke.584,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,22,22.274,Blödlebachdurchlass 3,B190 017,1980.0,5.0,,274.0,42.0,,True
bruecke,bruecke.592,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,22,22.283,Durchlass Verbandsammler,B190 089,1980.0,5.0,,283.0,42.0,,True
bruecke,bruecke.645,8    -L 190 -    -E,L190-E,Vorarlberger Straße (Einbahn),RFB 1,5,5.615,W27R Überführung der B190,A 14 127 R,1980.0,5.0,,615.0,42.0,,True
bruecke,bruecke.129,8    -L 190 -    -G,L190-G,Vorarlberger Straße (Gegenfahrbahn),RFB 2,22,22.285,Durchlass Verbandsammler,B190 089,1980.0,5.0,,285.0,42.0,,True
bruecke,bruecke.159,8    -L 190 -    -G,L190-G,Vorarlberger Straße (Gegenfahrbahn),RFB 2,23,22.58,Illbrücke Felsenau L,B190 019 L,1980.0,5.0,,420.0,42.0,,True
bruecke,bruecke.317,8    -L 190 -    -G,L190-G,Vorarlberger Straße (Gegenfahrbahn),RFB 2,22,22.256,Blödlebachdurchlass 3,B190 017,1980.0,5.0,,256.0,42.0,,True
bruecke,bruecke.341,8    -L 190 -    -G,L190-G,Vorarlberger Straße (Gegenfahrbahn),RFB 2,51,51.467,V43a Landgrabendurchlass,B190 046,2007.0,5.0,,467.0,15.0,,False
bruecke,bruecke.535,8    -L 190 -    -G,L190-G,Vorarlberger Straße (Gegenfahrbahn),RFB 2,5,5.501,W27L Überführung der B190,A 14 127 L,1980.0,5.0,,501.0,42.0,,True
bruecke,bruecke.80,8    -L 191a-    -,L191a,Liechtensteiner Straße,RFB 1,5,0.017,Fußgängerunterführung Bärenkreuzung,B190 021,1974.0,9.0,,4983.0,48.0,,True
bruecke,bruecke.151,8    -L 191a-    -,L191a,Liechtensteiner Straße,RFB 1,0,0.418,Hämmerle Verbindungskanal,B191 006,1924.0,9.0,,418.0,98.0,,True
bruecke,bruecke.232,8    -L 191a-    -,L191a,Liechtensteiner Straße,RFB 1,1,1.973,Fußgängerunterführung Tisis,B191 005,1979.0,9.0,,973.0,43.0,,True
bruecke,bruecke.297,8    -L 191a-    -,L191a,Liechtensteiner Straße,RFB 1,0,0.138,Fußgängerunterführung Hirschgraben,B191 001,1973.0,9.0,,138.0,49.0,,True
